Product Backlog ID,User Story ID,User Story Task Step Number,Task Step Description,,Assigned Date,Original Estimate,Adjustment Estimate,Status,Actual Effort
,,,,,,,,,
1,PECUNIA BANK:001,1,"Test Cases 
Template",,03-08-2020,2 hrs,1 hrs,completed,
,,2,"Product Backlog
 Sheet",,03-08-2020,1 hrs,0.5 hrs,completed,
,,3,Sprint plan sheet,,03-08-2020,1 hrs,0.5 hrs,completed,
,,4,"Entity Class 
Diagram",,04-08-2020,2 hrs,,completed,
,,5,"Use Case 
Diagram",,04-08-2020,2 hrs,,completed,
,,6,"Sequence 
Diagram",,04-08-2020,2 hrs,,completed,
,,,,,,,,,
2,PECUNIA BANK:002,1,Creating a Spring boot starter project,,05-08-2020,1hrs,0.5 hrs,completed,
,,2,Adding dependencies in Pom.xml and initializing it,,05-08-2020,1 hrs,0.5 hrs,completed,
,,3,"Adding server, jpa and logging properties in application.properties",,05-08-2020,1 hrs,0.5 hrs,completed,
,,,,,,,,,
3,PECUNIA BANK:003,1,PassBook Update,DAO,06-08-2020,3 hrs,1.5 hrs,completed,
,,,,SERVICE,07-08-2020,3 hrs,1.5 hrs,completed,
,,,,CONTROLLER,10-08-2020,3 hrs,1.5 hrs,completed,
,,2,Account Summary,DAO,10-08-2020,3 hrs,1.5 hrs,completed,
,,,,SERVICE,07-08-2020,3 hrs,1.5 hrs,completed,
,,,,CONTROLLER,05-08-2020,3 hrs,1.5 hrs,completed,
,,,,,,,,,
4,PECUNIA BANK:004,1,Populating the test data in database,,05-08-2020,3 hrs,1hr,completed,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5,PECUNIA BANK:005,1,Testing the functionalites in postman,"DAO,SERVICE,CONTROLLER",11-08-2020,2 hrs,,completed,
